10000 Reasons,1
All Glory Be to Christ,3
Amazing Grace (My Chains are Gone),1
Be Thou My Vision, 3
Behold Our God,3
By the Cross,1
Come Hear the Angels Sing,1
Come Lord,2
Come Thou Font,2
Crown Him with Many Crowns,1
God of Wonders
Hallelujah to the King of Kings
He Shall Reign Forevermore,2
Heavenly Father, Beautiful Son
Highest Place
Holy (Matt Redman)
How Deep the Father's Love,2
How Great is Our God
How Great You Are,3
I stand amazed,3
It is Well with My Soul
Jesus Messiah,2
Lifted Me Up
May the Mind of Christ,4
Never Alone
Our God
Rock of Ages,2
Show Us Christ
Sooner Count the Stars
Speak O Lord,3
This Life I live,2
We Belong To the Day,3
When I Survey,3
Where Else?
